District,VILLAGE NAME,AREA Sq.mts,SITE AREA ACRES
Adilabad,Bhainsa,6116.81,1.934
Adilabad,Nirmal,5847.752,3.552
Adilabad,Mancherial,6116.41,2.515
Nizambad,Banswada,13851.48,3.422
Nizambad,Bodhan,10516.33,2.598
Nizambad,Kamareddy,8728.64,2.15
Karimnagar,Sircilla,7211.718,2.06
Karimnagar,Jagtial,6487.95,1.535
Karimnagar,Godavarikhani,7030.12,3.37
Medak,Medak,6380.95,4.71
Medak,Zaheerabad,6288.22,3.78
Medak,Siddipet,5906.25,4.95
Medak,Patancheruvu,38016.17,9.39
Medak,Dubbaka,8318.13,4.839
Medak,Gazwel,17666.66,2.828
Warangal,Janagaon,6051.02,1.72
Warangal,Mahabubabad,5932.33,1.7
Warangal,Bhupalapally,10680.31,12.842
Rangareddy,Kondapur,7197.23,3.035
Rangareddy,Vanasthalipuram,6476.59,2.51
Rangareddy,Thandur,6737.67,4.83
Mahaboobnagar,Gadwal,7323.79,9.104
Mahaboobnagar,Nagarkurnool,5404.38,2.2
Mahaboobnagar,Narayanpet,5615.23,2.936
Mahaboobnagar,Wanaparthy,6874.11,2.638
Nalgonda,Miryalguda,6619.8,4.65
Nalgonda,Huzurnagar,5679.76,2.05
Nalgonda,Ramannapet,2706.12,2.38
Nalgonda,Bhongir,7027.43,2.39
Nalgonda,Suryapet,6464.96,3.42
Nalgonda,Devarkonda,5554.92,2.6
Nalgonda,Nagarjunasagar,13722.52,8.01
Khammam,Kothagudam,6687.88,3.63
Khammam,Bhadrachalam,13123.0,5.19
