Districts_Hospital,BLOCK NAME,AREA Sq.mts,SITE AREA ACRES
Adilabad_Rims ,Animal House,177.0,
Adilabad_Rims ,Auditorium,1450.1,
Adilabad_Rims ,Boys Hostel,6666.55,
Adilabad_Rims ,Female Interns & Residents,4960.7,
Adilabad_Rims ,Girls Hostel,6665.8,
Adilabad_Rims ,Hospital,31249.3,
Adilabad_Rims ,Incinerator,53.7,
Adilabad_Rims ,Labour Block,,
Adilabad_Rims ,Male Interns& Residents,4960.7,
Adilabad_Rims ,Medical College,18707.75,
Adilabad_Rims ,Nurses Hostel,2268.8,
Adilabad_Rims ,Resident Quarters,4960.7,
Adilabad_Rims ,Security,24.11,
Adilabad_Rims ,Workshop,334.22,
Adilabad_Rims ,Teaching Staff Quaters,1374.6,
Adilabad_Rims ,Non Teaching Staff Quaters,1004.4,
Adilabad_Rims ,Adilabad Site Lay-Out,190445.04,
Adilabad_Rims ,Class-Iv Staff Quarters,853.5,
Nizambad_Nizambad Medical College,Boys Hostel,4435.53,
Nizambad_Nizambad Medical College,Girls Hostel,2273.02,
Nizambad_Nizambad Medical College,Guest House,501.48,
Nizambad_Nizambad Medical College,Hospital,33140.3,
Nizambad_Nizambad Medical College,Lecture Gallery,2300.0,
Nizambad_Nizambad Medical College,M.C.H Block,18837.41,
Nizambad_Nizambad Medical College,Medical College,20341.3,
Nizambad_Nizambad Medical College,Nts,1610.7,
Nizambad_Nizambad Medical College,Nurses Hostel,2149.84,
Nizambad_Nizambad Medical College,Nurses Quaters,1610.7,
Nizambad_Nizambad Medical College,Phase-2,10717.06,
Nizambad_Nizambad Medical College,Rear Right Side Block,7071.36,
Nizambad_Nizambad Medical College,Service Block,2166.34,
Nizambad_Nizambad Medical College,Male Residents & Interns,6998.96,
Nizambad_Nizambad Medical College,Female Residents & Interns,3150.1,
Nizambad_Nizambad Medical College,Auditorium Cum Examination Hall,1499.3,
Nizambad_Nizambad Medical College,Principal Quater,205.55,
Nizambad_Nizambad Medical College,T.S.Qursts,2521.38,
Nizambad_Nizambad Medical College,Ancillaries -01,1039.51,
Nizambad_Nizambad Medical College,Ancillaries -02,891.55,
Karimnagar_District Hospital,Karimnagar,29980.819,11.426
Medak_District Hospital,Sangareddy,19980.12,35.7
Warangal_D.M.E Hospitals,Anantha Laxmi Govt Ayurvedic Medical,3918.79,6.18
Warangal_D.M.E Hospitals,Govt Cd& Tb Hospital Warangal,2981.91,6.66
Warangal_D.M.E Hospitals,Ckm Govt Maternity Hospital Warangal,5849.83,2.69
Warangal_D.M.E Hospitals,Ckm Ursu,728.56,1.14
Warangal_D.M.E Hospitals,Maternity Hospital-Hnk,5912.4,5.36
Warangal_D.M.E Hospitals,Regional Eye Hospital Warangal,5183.1,7.75
Warangal_D.M.E Hospitals,Kakatiya Medical College,52870.74,119.97
Warangal_D.M.E Hospitals,Mch At Champak Hills,5097.88,3.21
Warangal_D.M.E Hospitals,Mahatma Gandhi Memorial Hospital,45944.63,21.15
Mahaboobnagar_District Hospital,Mahaboobnagar,33874.24,15.02
Nalgonda_District Hospital,Nalgonda,30782.53,18.86
Khammam_District Hospital,Khammam,15786.31,21.44
