Districts,Domestic Connections,Industrial Connections,Agriculture Connections,Commercial Connections,Other Connections
ADILABAD,151936,1074,17948,14641,3302
BHADRADRI,272987,1396,29951,25990,5911
HYDERABAD,1469633,13041,86,324781,18987
JAGTIAL ,267097,2132,113165,23109,6499
JANGAON ,148566,1536,80002,11366,4432
JAYASHANKAR ,144768,1053,48042,9719,3377
JOGULAMBA ,92452,1020,31602,9403,1907
KAMAREDDY ,210720,2206,82132,19376,6364
KARIMNAGAR ,309030,3512,91361,33644,6290
KHAMMAM ,397024,3193,81374,36443,7601
KOMARAM BHEEM ,101064,484,6672,6332,2950
MAHABUBABAD,153923,1226,73394,12720,4980
MAHABUBNAGAR,257680,2902,82140,30826,6261
MANCHERIAL ,185999,1241,31118,17112,3270
MEDAK ,175678,2148,88951,18580,3464
MEDCHAL,1047202,57749,18755,121581,20580
NAGARKURNOOL ,123314,1477,61106,13899,3276
NALGONDA ,363927,3891,165131,42466,6805
NIRMAL ,167496,1037,48230,14835,3143
NIZAMABAD ,422763,3830,149416,50760,12700
PEDDAPALLI ,206547,2009,61719,17060,3389
RAJANNA ,135896,1308,64543,9896,8075
RANGAREDDY ,960744,15070,100395,122460,10879
SANGAREDDY ,224515,2260,64002,24769,3930
SIDDIPET ,271284,4105,96698,29115,8478
SURYAPET ,249471,2688,109801,24448,3855
VIKARABAD ,178574,3063,51409,15044,2685
WANAPARTHY ,108511,1194,37317,11195,2362
WARANGAL (R) ,147718,1576,67698,12536,3056
WARANGAL (U),366159,3275,41144,47177,5205
YADADRI ,191627,3011,85404,20708,5033
