Districts,Minor Irrigation Tanks,Sanctions Mission Kakatiya Phase-I,Sanctions Mission Kakatiya Phase-II
ADILABAD,1191,47,37
BHADRADRI,2427,442,521
HYDERABAD,169,0,0
JAGTIAL ,1197,199,218
JANGAON ,896,415,169
JAYASHANKAR ,2550,224,438
JOGULAMBA ,784,273,93
KAMAREDDY ,1988,390,374
KARIMNAGAR ,1490,225,291
KHAMMAM ,1423,292,304
KOMARAM BHEEM ,1005,200,140
MAHABUBABAD,1954,171,389
MAHABUBNAGAR,2340,388,520
MANCHERIAL ,951,145,142
MEDAK ,2988,561,670
MEDCHAL,500,95,73
NAGARKURNOOL ,2022,122,413
NALGONDA ,2306,380,499
NIRMAL ,804,166,149
NIZAMABAD ,1263,279,282
PEDDAPALLI ,1185,123,242
RAJANNA ,625,109,122
RANGAREDDY ,2504,312,410
SANGAREDDY ,2113,366,428
SIDDIPET ,3278,865,706
SURYAPET ,1254,236,296
VIKARABAD ,1151,327,269
WANAPARTHY ,1535,157,300
WARANGAL (R) ,871,127,200
WARANGAL (U),685,0,141
YADADRI ,1082,193,277
